Sygnatura czasowa;Podaj p³eæ:;Podaj wiek:;Czy planujesz zmieniæ miejsce zamieszkania w ci¹gu kilku lat?;Jaki jest powód migracji? (wielokrotny wybór);kierunek1:;kierunek2:
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;mê¿czyzna;do 18 lat;nie;;;
Sygnatura czasowa;kobieta;26 - 40 lat;nie;;;
Sygnatura czasowa;kobieta;41 - 55 lat;nie;;;
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;zagraniczny;du¿e miasto
Sygnatura czasowa;kobieta;26 - 40 lat;nie;;;
Sygnatura czasowa;mê¿czyzna;do 18 lat;nie;;;
Sygnatura czasowa;kobieta;powy¿ej 55 lat;nie;;;
Sygnatura czasowa;mê¿czyzna;26 - 40 lat;nie;;;
Sygnatura czasowa;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca;zagraniczny;du¿e miasto
Sygnatura czasowa;kobieta;26 - 40 lat;tak, ale tymczasowo;praca, chêæ poznania czegoœ nowego;zagraniczny;ma³e miasto
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;19 - 25 lat;tak, ale tymczasowo;praca;zagraniczny;du¿e miasto
Sygnatura czasowa;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;mê¿czyzna;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;19 - 25 lat;nie;;;
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;kobieta;26 - 40 lat;tak, ale tymczasowo;praca;zagraniczny;du¿e miasto
Sygnatura czasowa;kobieta;26 - 40 lat;nie;;;
Sygnatura czasowa;kobieta;26 - 40 lat;nie;;;
Sygnatura czasowa;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
Sygnatura czasowa;mê¿czyzna;do 18 lat;tak, na sta³e;praca, chêæ poznania czegoœ nowego;zagraniczny;ma³e miasto
25.01.2019 21:30;kobieta;do 18 lat;nie;;;
25.01.2019 21:30;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
25.01.2019 21:32;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 21:36;mê¿czyzna;do 18 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
25.01.2019 21:37;mê¿czyzna;26 - 40 lat;tak, na sta³e;chêæ poznania czegoœ nowego;zagraniczny;ma³e miasto
25.01.2019 21:40;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd.;zagraniczny;du¿e miasto
25.01.2019 21:41;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
